"","word","mRT","acc"
"385","alleys",563.948717948718,0.975
"386","allied",678.837837837838,0.973684210526316
"387","allies",641.815789473684,0.974358974358974
"388","allot",716.916666666667,0.631578947368421
"389","allots",755.192307692308,0.702702702702703
"390","allow",564.444444444444,0.972972972972973
"391","allowed",583.125,1
"392","allows",549.923076923077,0.975
"393","alloy",583.416666666667,0.947368421052632
"394","alloyed",743.307692307692,0.684210526315789
"395","alloys",622.975,1
"396","allspice",700.444444444444,0.225
"397","allude",705.235294117647,0.85
"398","allure",648,0.842105263157895
"399","allured",667.294117647059,0.918918918918919
"400","ally",664.40625,0.82051282051282
"401","almond",586.162162162162,0.973684210526316
"402","almonds",604.416666666667,0.972972972972973
"403","almost",521.75,1
"404","alms",764.7,0.263157894736842
"405","aloe",794.095238095238,0.552631578947368
"406","aloes",720.6,0.25
"407","aloft",710.964285714286,0.756756756756757
"408","alone",549.8,1
"409","along",532.459459459459,0.973684210526316
"410","aloof",643.666666666667,0.846153846153846
"411","aloud",563.775,1
"412","alp",618.04347826087,0.575
"413","alpha",557.243243243243,0.948717948717949
"414","alphas",631.941176470588,0.871794871794872
"415","alpine",635.114285714286,0.897435897435897
"416","alps",624.675675675676,0.925
"417","alright",589.157894736842,0.95
"418","alsace",1022,0.128205128205128
"419","also",529.405405405405,0.973684210526316
"420","altar",647.189189189189,0.948717948717949
"421","altars",651.026315789474,0.95
"422","alter",620.236842105263,1
"423","altered",651.685714285714,0.921052631578947
"424","alters",606.702702702703,0.925
"425","although",581.5,1
"426","alto",674.411764705882,0.435897435897436
"427","altos",900.882352941176,0.459459459459459
"428","alum",738.636363636364,0.282051282051282
"429","always",519.914285714286,0.945945945945946
"430","am",621.5,0.842105263157895
"431","amah",380,0.025
"432","amass",690.75,0.631578947368421
"433","amassed",706.217391304348,0.575
"434","amaze",577.777777777778,0.972972972972973
"435","amazed",582.675,1
"436","amber",597.25641025641,0.975
"437","ambience",611.972222222222,0.947368421052632
"438","ambient",615.512820512821,0.975
"439","ambit",978.333333333333,0.0769230769230769
"440","amble",631.459459459459,0.925
"441","ambled",648.777777777778,0.710526315789474
"442","ambles",634.617647058824,0.85
"443","ambling",684.103448275862,0.743589743589744
"444","ambush",599.216216216216,0.925
"445","ambushed",662.472222222222,0.947368421052632
"446","amen",670,0.95
"447","amend",614.028571428571,0.897435897435897
"448","amends",665.945945945946,0.973684210526316
"449","amid",678.51724137931,0.763157894736842
"450","amidst",687.911764705882,0.871794871794872
"451","amir",755.8,0.131578947368421
"452","amirs",1021.66666666667,0.075
"453","amiss",708.714285714286,0.7
"454","ammo",695.619047619048,0.552631578947368
"455","amok",708.818181818182,0.289473684210526
"456","among",620.583333333333,0.947368421052632
"457","amongst",608.4,1
"458","amount",524.25,1
"459","amounts",578.461538461538,1
"460","amour",756.37037037037,0.710526315789474
"461","amours",699,0.638888888888889
"462","amp",633.678571428571,0.736842105263158
"463","ampere",849.2,0.375
"464","amperes",779.615384615385,0.325
"465","ample",613.944444444444,0.923076923076923
"466","ampler",906.133333333333,0.416666666666667
"467","amply",755.769230769231,0.702702702702703
"468","ampoule",801.333333333333,0.075
"469","ampoules",767.5,0.15
"470","amps",662.838709677419,0.837837837837838
"471","amuck",917.8,0.138888888888889
"472","amuse",608.405405405405,0.973684210526316
"473","amused",534.05,1
"474","an",599.162162162162,0.925
"475","anal",564.342105263158,1
"476","anchor",558.486486486486,1
"477","anchored",591.542857142857,0.921052631578947
"478","anchors",566.368421052632,0.95
"479","ancient",520.725,1
"480","ancients",572.947368421053,0.95
"481","and",540.055555555556,0.947368421052632
"482","anew",719.666666666667,0.552631578947368
"483","angel",556.947368421053,1
"484","angels",571.756756756757,0.973684210526316
"485","anger",532.368421052632,1
"486","angered",615.447368421053,0.95
"487","angers",577,1
"488","angle",522.236842105263,1
"489","angled",672.514285714286,0.945945945945946
"490","angler",612.483870967742,0.815789473684211
"491","anglers",665.625,0.8
"492","angles",593.657142857143,0.945945945945946
"493","angling",711.064516129032,0.837837837837838
"494","angrier",601.756756756757,0.973684210526316
"495","angry",495.815789473684,1
"496","angst",707.535714285714,0.736842105263158
"497","anguish",599.552631578947,0.95
"498","anguished",650.054054054054,0.973684210526316
"499","anis",620.857142857143,0.175
"500","anise",751.857142857143,0.179487179487179
"501","ankle",582.55,1
"502","ankles",567.973684210526,1
"503","anklet",647.205882352941,0.85
"504","anklets",679.558823529412,0.918918918918919
"505","anna",749.4,0.540540540540541
"506","annals",780.666666666667,0.405405405405405
"507","annas",1079.5,0.0526315789473684
"508","annealed",785.2,0.138888888888889
"509","annex",635.27027027027,0.925
"510","annexe",690.514285714286,0.921052631578947
"511","annexed",703.258064516129,0.815789473684211
"512","announce",614.756756756757,1
"513","announced",582.675,1
"514","annoy",525.25,0.947368421052632
"515","annoyed",550.95,1
"516","annoys",546.605263157895,0.95
"517","annual",548.65,1
"518","annuals",629.944444444444,0.947368421052632
"519","annul",770.473684210526,0.5
"520","annulled",731.2,0.789473684210526
"521","anode",728.181818181818,0.55
"522","anoint",728.208333333333,0.615384615384615
"523","anoints",741,0.615384615384615
"524","anon",658.032258064516,0.794871794871795
"525","answer",543.973684210526,1
"526","answered",561.925,1
"527","answers",537,1
"528","ant",538.27027027027,0.973684210526316
"529","ante",768.5,0.324324324324324
"530","antes",735.8,0.131578947368421
"531","anthem",689.787878787879,0.891891891891892
"532","anthems",623.684210526316,0.95
"533","anther",778.666666666667,0.394736842105263
"534","anthers",866.428571428571,0.358974358974359
"535","anthill",833.05,0.526315789473684
"536","anthills",836.153846153846,0.361111111111111
"537","anthrax",678.034482758621,0.725
"538","anti",637.28,0.675675675675676
"539","antics",592.111111111111,0.947368421052632
"540","antique",597.8,1
"541","antiques",577.27027027027,0.973684210526316
"542","antler",660.911764705882,0.894736842105263
"543","antlers",644.657142857143,0.921052631578947
"544","ants",541.297297297297,1
"545","anus",631.583333333333,0.947368421052632
"546","anvil",626.0625,0.82051282051282
"547","anvils",678.758620689655,0.725
"548","anxious",582.351351351351,0.973684210526316
"549","any",585.74358974359,0.975
"550","apace",958.333333333333,0.157894736842105
"551","apache",747.230769230769,0.684210526315789
"552","apart",549.540540540541,1
"553","ape",584.375,1
"554","aped",769.25,0.432432432432432
"555","apes",589.411764705882,0.894736842105263
"556","apex",791.037037037037,0.710526315789474
"557","aphid",684.25,0.6
"558","aphids",753.85,0.526315789473684
"559","aphis",604,0.0263157894736842
"560","apiece",895.47619047619,0.552631578947368
"561","aping",826,0.216216216216216
"562","aplomb",755.588235294118,0.425
"563","appal",692.777777777778,0.257142857142857
"564","appalled",622.314285714286,0.945945945945946
"565","appals",887.272727272727,0.289473684210526
"566","appeal",581.027027027027,0.973684210526316
"567","appealed",572.525,1
"568","appeals",579.552631578947,1
"569","appear",494.575,1
"570","appeared",556.973684210526,0.95
"571","appears",532,1
"572","appease",758.6,0.921052631578947
"573","appeased",729.324324324324,0.925
"574","append",751.222222222222,0.675
"575","appends",611.1,0.789473684210526
"576","applaud",598.815789473684,0.95
"577","applauds",603.975,1
"578","applause",541.775,1
"579","apple",491.925,1
"580","apples",534.35,1
"581","applied",562.025641025641,0.975
"582","applies",632.405405405405,0.948717948717949
"583","apply",557.918918918919,0.973684210526316
"584","appoint",598.789473684211,0.95
"585","appoints",684.736842105263,1
"586","apposed",777.272727272727,0.578947368421053
"587","appraise",592.333333333333,0.972972972972973
"588","appraised",634.368421052632,0.974358974358974
"589","apprise",638.25,0.41025641025641
"590","apprised",766.444444444444,0.45
"591","appro",599,0.027027027027027
"592","approach",547.657894736842,1
"593","approached",574.108108108108,0.973684210526316
"594","approve",550.368421052632,1
"595","approved",542.275,1
"596","approves",576.447368421053,0.974358974358974
"597","april",559.108108108108,0.973684210526316
"598","apron",572.394736842105,1
"599","aprons",620.4,1
"600","apse",675.857142857143,0.184210526315789
"601","apses",742.75,0.105263157894737
"602","apt",688.148148148148,0.710526315789474
"603","apter",617.333333333333,0.075
"604","aptly",756.62962962963,0.675
"605","aptness",806.571428571429,0.368421052631579
"606","aqueous",683.636363636364,0.594594594594595
"607","arab",633.25641025641,0.975
"608","arabs",625.103448275862,0.725
"609","arbour",797.933333333333,0.405405405405405
